fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
OSCAR COTA,10-2-0,,,,42%,5.0,12.0,,,,0.33,2.47,0.0,1.0,41%,60%,0.0,15:00,2.0,40%,0.0,0%,3.0,60%,80.0,80%,20.0,0%,20.0,20%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/oscar-cota,Heavyweight,19.298245614035086,22.807017543859647,3.4482758620689653,,40.78947368421053,19.82758620689655,93.10344827586206,25.862068965517242
PARKER PORTER,14-9-0,6.0,3.0,4.0,50%,436.0,868.0,26%,5.0,23.0,6.55,6.32,1.35,0.45,52%,67%,0.0,07:24,374.0,86%,47.0,11%,15.0,3%,328.0,75%,66.0,10%,66.0,15%,6.0,43%,5.0,36%,3.0,21%,https://www.ufc.com/athlete/parker-porter,Heavyweight,52.63157894736842,61.40350877192983,89.65517241379311,43.61702127659575,48.68421052631579,67.24137931034483,81.03448275862068,25.862068965517242
RICARDO PRASEL,9-2-0,,,,58%,11.0,19.0,0%,,4.0,2.21,7.83,0.0,0.0,37%,,0.0,04:59,9.0,82%,2.0,18%,0.0,0%,9.0,9%,82.0,9%,82.0,82%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/ricardo-prasel,Heavyweight,74.56140350877193,14.035087719298245,20.689655172413794,12.76595744680851,,19.82758620689655,32.758620689655174,25.862068965517242
RICHARD JACOBI,0-1-0,,,,44%,4.0,9.0,100%,,1.0,0.88,3.94,3.28,0.0,51%,100%,0.0,04:34,2.0,50%,0.0,0%,2.0,50%,75.0,75%,25.0,25%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/richard-jacobi,Heavyweight,22.807017543859647,52.63157894736842,5.172413793103448,98.93617021276596,92.10526315789474,87.93103448275862,32.758620689655174,25.862068965517242
RYAN SPANN,23-11-0,6.0,14.0,17.0,39%,294.0,752.0,35%,,23.0,3.19,4.14,1.3,1.79,43%,52%,0.98,05:26,216.0,73%,22.0,7%,56.0,19%,223.0,76%,53.0,18%,26.0,6%,6.0,26%,3.0,13%,14.0,61%,https://www.ufc.com/athlete/ryan-spann,Heavyweight,10.526315789473683,31.57894736842105,39.6551724137931,59.57446808510638,28.947368421052634,63.793103448275865,96.55172413793103,86.20689655172413
SEAN SHARAF,4-1-0,4.0,,4.0,45%,53.0,118.0,13%,1.0,8.0,7.31,9.79,2.07,0.0,45%,,0.0,07:15,44.0,83%,1.0,2%,8.0,15%,74.0,74%,13.0,13%,100.0,13%,4.0,100%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/sean-sharaf,Heavyweight,27.192982456140353,37.719298245614034,91.37931034482759,29.78723404255319,,82.75862068965517,32.758620689655174,25.862068965517242
SERGEI PAVLOVICH,20-3-0,15.0,,15.0,44%,278.0,629.0,25%,,8.0,4.43,3.62,0.48,0.0,56%,75%,1.67,05:42,229.0,82%,19.0,7%,30.0,11%,230.0,83%,30.0,11%,75.0,6%,15.0,75%,5.0,25%,0.0,0%,https://www.ufc.com/athlete/sergei-pavlovich,Heavyweight,22.807017543859647,78.94736842105263,64.65517241379311,39.361702127659576,65.78947368421053,43.103448275862064,32.758620689655174,91.37931034482759
SERGHEI SPIVAC,17-6-0,7.0,8.0,11.0,48%,381.0,789.0,62%,,50.0,3.45,4.25,4.21,0.54,50%,64%,0.0,07:54,208.0,55%,17.0,4%,156.0,41%,356.0,93%,15.0,4%,41.0,3%,7.0,41%,2.0,12%,8.0,47%,https://www.ufc.com/athlete/sergey-spivak-0,Heavyweight,39.473684210526315,49.122807017543856,43.103448275862064,80.85106382978722,44.73684210526316,89.65517241379311,84.48275862068965,25.862068965517242
SHAMIL GAZIEV,14-1-0,9.0,3.0,9.0,48%,120.0,248.0,30%,,10.0,2.57,3.87,0.96,0.32,45%,83%,0.64,09:21,78.0,65%,25.0,21%,17.0,14%,86.0,72%,32.0,27%,64.0,2%,9.0,64%,2.0,14%,3.0,21%,https://www.ufc.com/athlete/shamil-gaziev,Heavyweight,39.473684210526315,37.719298245614034,27.586206896551722,48.93617021276596,76.31578947368422,55.172413793103445,77.58620689655173,81.03448275862068
JUSTIN TAFA,7-5-0,7.0,,5.0,54%,221.0,406.0,0%,,2.0,4.05,5.11,0.0,0.0,47%,53%,1.1,05:27,187.0,85%,26.0,12%,8.0,4%,129.0,58%,62.0,28%,100.0,14%,7.0,100%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/shiyasutein-tafua,Heavyweight,64.03508771929825,44.73684210526316,56.896551724137936,12.76595744680851,32.89473684210527,19.82758620689655,32.758620689655174,89.65517241379311
