fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
BRUNO SILVA,14-7-2,6.0,4.0,4.0,50%,353.0,713.0,24%,2.0,46.0,3.83,4.81,1.79,0.16,50%,60%,0.98,10:15,287.0,81%,24.0,7%,42.0,12%,196.0,56%,80.0,23%,77.0,22%,6.0,43%,4.0,29%,4.0,29%,https://www.ufc.com/athlete/bruno-silva,Flyweight,70.12987012987013,35.064935064935064,62.33766233766234,25.0,46.15384615384615,59.09090909090909,46.75324675324675,92.20779220779221
CARLOS CANDELARIO,8-3-0,2.0,3.0,4.0,47%,209.0,446.0,36%,2.0,22.0,3.97,5.17,2.28,0.28,44%,54%,0.0,13:10,141.0,67%,16.0,8%,52.0,25%,131.0,63%,43.0,21%,35.0,17%,2.0,25%,3.0,38%,3.0,38%,https://www.ufc.com/athlete/carlos-candelario,Flyweight,62.98701298701299,18.83116883116883,68.83116883116884,49.28571428571429,33.84615384615385,66.23376623376623,50.0,23.376623376623375
CHARLES JOHNSON,18-7-0,8.0,3.0,4.0,50%,754.0,1511.0,21%,,29.0,4.73,3.78,0.56,0.38,57%,67%,0.38,13:17,619.0,82%,96.0,13%,39.0,5%,380.0,50%,214.0,28%,160.0,21%,8.0,44%,7.0,39%,3.0,17%,https://www.ufc.com/athlete/charles-johnson,Flyweight,70.12987012987013,63.63636363636363,89.6103896103896,21.428571428571427,63.07692307692307,33.116883116883116,55.84415584415584,70.12987012987013
CLAYTON CARPENTER,8-1-0,2.0,4.0,4.0,55%,158.0,287.0,46%,,13.0,3.91,2.75,2.23,1.48,55%,43%,0.0,10:06,104.0,66%,10.0,6%,44.0,28%,97.0,61%,41.0,13%,41.0,26%,2.0,25%,2.0,25%,4.0,50%,https://www.ufc.com/athlete/clayton-carpenter,Flyweight,88.31168831168831,53.896103896103895,64.93506493506493,72.14285714285714,11.538461538461538,64.93506493506493,83.11688311688312,23.376623376623375
CODY DURDEN,17-8-1,6.0,6.0,9.0,45%,425.0,948.0,48%,9.0,71.0,3.44,4.35,4.13,0.73,50%,73%,0.12,09:30,358.0,84%,16.0,4%,51.0,12%,311.0,73%,58.0,14%,56.0,13%,6.0,35%,5.0,29%,6.0,35%,https://www.ufc.com/athlete/cody-durden,Flyweight,51.94805194805194,35.064935064935064,50.0,75.71428571428571,75.38461538461539,88.31168831168831,64.93506493506493,48.05194805194805
DANIEL LACERDA,11-6-0,5.0,6.0,10.0,46%,102.0,224.0,50%,,8.0,3.95,8.28,2.32,1.16,35%,,1.74,04:19,81.0,79%,6.0,6%,15.0,15%,57.0,56%,25.0,25%,45.0,20%,5.0,45%,0.0,0%,6.0,55%,https://www.ufc.com/athlete/daniel-da-silva,Flyweight,59.74025974025974,6.493506493506493,66.23376623376623,82.85714285714286,,67.53246753246754,77.92207792207793,97.40259740259741
DAVI COSTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ufc.com/athlete/davi-costa,Flyweight,,,,,,,,
DAVID DVORAK,20-6-0,8.0,8.0,10.0,43%,269.0,625.0,30%,,10.0,3.48,3.29,0.58,0.19,60%,70%,0.0,12:53,231.0,86%,30.0,11%,8.0,3%,137.0,51%,74.0,22%,74.0,28%,8.0,40%,4.0,20%,8.0,40%,https://www.ufc.com/athlete/david-dvorak,Flyweight,37.01298701298701,82.46753246753246,53.246753246753244,36.42857142857142,69.23076923076923,35.064935064935064,48.05194805194805,23.376623376623375
DENYS BONDAR,14-5-0,4.0,9.0,11.0,51%,121.0,238.0,58%,1.0,12.0,4.59,5.16,3.99,0.0,57%,63%,0.0,08:47,104.0,86%,10.0,8%,7.0,6%,61.0,50%,37.0,31%,29.0,19%,4.0,29%,1.0,7%,9.0,64%,https://www.ufc.com/athlete/denys-bondar,Flyweight,75.97402597402598,63.63636363636363,88.31168831168831,87.14285714285714,53.07692307692308,87.01298701298701,23.376623376623375,23.376623376623375
DONGHUN CHOI,3-0-0,3.0,,,66%,148.0,223.0,14%,,7.0,4.54,3.13,0.46,0.0,59%,82%,0.92,10:52,142.0,96%,5.0,3%,1.0,1%,63.0,43%,60.0,17%,60.0,41%,3.0,38%,5.0,63%,0.0,0%,https://www.ufc.com/athlete/donghun-choi,Flyweight,98.7012987012987,79.22077922077922,87.01298701298701,18.571428571428573,89.23076923076924,29.22077922077922,23.376623376623375,90.9090909090909
