fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
SEOKHYEON KO,12-2-0,6.0,,4.0,53%,87.0,165.0,53%,6.0,15.0,2.9,2.0,4.0,0.5,59%,75%,0.0,15:00,55.0,63%,6.0,7%,26.0,30%,80.0,80%,13.0,13%,50.0,7%,6.0,50%,6.0,50%,0.0,0%,https://www.ufc.com/athlete/seokhyeon-ko,Welterweight,73.11320754716981,79.04761904761905,20.754716981132077,85.1063829787234,71.35416666666666,96.69811320754717,68.86792452830188,15.566037735849056
SHAVKAT RAKHMONOV,19-0-0,8.0,10.0,9.0,60%,244.0,406.0,26%,2.0,27.0,3.25,2.17,1.4,1.2,51%,86%,0.2,10:44,137.0,56%,59.0,24%,48.0,20%,170.0,70%,64.0,26%,42.0,4%,8.0,42%,1.0,5%,10.0,53%,https://www.ufc.com/athlete/shavkat-rakhmonov,Welterweight,88.67924528301887,40.95238095238095,27.358490566037734,30.851063829787233,78.64583333333334,59.43396226415094,93.39622641509435,40.56603773584906
SHELDON WESTCOTT,10-3-1,,,,41%,63.0,155.0,38%,6.0,16.0,2.26,3.73,3.23,0.0,37%,14%,0.0,09:18,10.0,16%,20.0,32%,33.0,52%,76.0,76%,21.0,21%,40.0,3%,4.0,40%,2.0,20%,4.0,40%,https://www.ufc.com/athlete/sheldon-westcott,Welterweight,16.9811320754717,6.666666666666667,13.20754716981132,54.25531914893617,1.0416666666666665,89.62264150943396,23.58490566037736,15.566037735849056
SIDNEY OUTLAW,9-4-0,,,,33%,2.0,6.0,75%,,4.0,0.13,0.8,3.0,3.0,71%,,0.0,15:00,2.0,100%,0.0,0%,0.0,0%,50.0,50%,50.0,0%,50.0,50%,1.0,13%,4.0,50%,3.0,38%,https://www.ufc.com/athlete/sidney-outlaw,Welterweight,3.7735849056603774,98.09523809523809,0.9433962264150944,91.48936170212765,,83.01886792452831,99.05660377358491,15.566037735849056
SONG KENAN,22-9-0,9.0,9.0,13.0,47%,484.0,1030.0,30%,,10.0,4.49,5.82,0.42,0.0,51%,74%,0.7,09:48,406.0,84%,56.0,12%,22.0,5%,311.0,64%,88.0,18%,88.0,18%,9.0,41%,4.0,18%,9.0,41%,https://www.ufc.com/athlete/song-kenan,Welterweight,46.69811320754717,40.95238095238095,58.490566037735846,37.765957446808514,67.70833333333334,31.132075471698112,23.58490566037736,75.47169811320755
STEPHEN THOMPSON,17-9-1,8.0,1.0,5.0,46%,1293.0,2810.0,36%,5.0,14.0,4.05,3.0,0.23,0.0,55%,63%,0.47,14:31,1158.0,90%,88.0,7%,47.0,4%,857.0,66%,305.0,24%,131.0,10%,8.0,47%,8.0,47%,1.0,6%,https://www.ufc.com/athlete/stephen-thompson,Welterweight,42.45283018867924,59.523809523809526,48.58490566037736,49.46808510638298,42.1875,25.0,23.58490566037736,58.490566037735846
NUERAJI TAIYILAKE,12-1-0,11.0,1.0,9.0,53%,100.0,188.0,33%,1.0,3.0,9.82,5.01,1.47,0.0,58%,100%,1.47,05:06,74.0,74%,1.0,1%,25.0,25%,62.0,62%,27.0,27%,92.0,11%,11.0,92%,0.0,0%,1.0,8%,https://www.ufc.com/athlete/taiyilake-nueraji,Welterweight,73.11320754716981,74.76190476190476,100.0,43.08510638297872,94.79166666666666,62.264150943396224,23.58490566037736,93.39622641509435
THEMBA GORIMBO,14-5-0,2.0,6.0,5.0,61%,167.0,272.0,65%,2.0,26.0,3.15,1.09,4.81,0.57,57%,82%,0.57,08:50,74.0,44%,53.0,32%,40.0,24%,87.0,52%,57.0,34%,23.0,14%,2.0,14%,6.0,43%,6.0,43%,https://www.ufc.com/athlete/themba-gorimbo,Welterweight,90.56603773584906,70.47619047619048,25.0,90.42553191489363,75.0,98.11320754716981,72.64150943396226,63.67924528301887
TIM MEANS,33-17-1,20.0,5.0,4.0,49%,1457.0,2968.0,40%,8.0,55.0,5.04,3.65,1.14,0.16,60%,65%,0.57,09:38,1116.0,77%,202.0,14%,139.0,10%,885.0,61%,409.0,28%,163.0,11%,20.0,61%,8.0,24%,5.0,15%,https://www.ufc.com/athlete/tim-means,Welterweight,54.24528301886793,83.80952380952381,76.41509433962264,60.63829787234043,47.91666666666667,51.886792452830186,54.71698113207547,63.67924528301887
TREY WATERS,9-2-0,3.0,3.0,2.0,44%,238.0,538.0,33%,1.0,3.0,6.39,5.83,0.4,0.81,56%,86%,0.0,09:19,234.0,98%,3.0,1%,1.0,0%,209.0,88%,17.0,7%,33.0,5%,3.0,33%,3.0,33%,3.0,33%,https://www.ufc.com/athlete/trey-waters,Welterweight,33.490566037735846,65.71428571428571,90.56603773584906,43.08510638297872,78.64583333333334,30.18867924528302,82.0754716981132,15.566037735849056
TY MILLER,1-0-0,,,,34%,84.0,246.0,,,,5.6,3.8,0.0,0.0,70%,50%,0.0,15:00,73.0,87%,11.0,13%,0.0,0%,88.0,88%,11.0,11%,1.0,1%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/ty-miller,Welterweight,4.716981132075472,97.14285714285714,83.9622641509434,,20.3125,12.264150943396226,23.58490566037736,15.566037735849056
UROŠ MEDIĆ,11-3-0,9.0,2.0,8.0,61%,227.0,375.0,50%,,2.0,5.47,3.5,0.36,0.0,56%,56%,2.89,04:37,136.0,60%,28.0,12%,63.0,28%,152.0,67%,49.0,22%,82.0,11%,9.0,82%,0.0,0%,2.0,18%,https://www.ufc.com/athlete/uros-medic,Welterweight,90.56603773584906,65.71428571428571,82.0754716981132,80.31914893617021,33.33333333333333,29.245283018867923,23.58490566037736,95.28301886792453
VAL WOODBURN,7-2-0,5.0,,3.0,36%,25.0,70.0,100%,,2.0,1.6,4.93,1.92,0.0,36%,50%,0.96,07:49,17.0,68%,5.0,20%,3.0,12%,84.0,84%,8.0,8%,71.0,8%,5.0,71%,2.0,29%,0.0,0%,https://www.ufc.com/athlete/val-woodburn,Welterweight,5.660377358490567,5.238095238095238,5.660377358490567,96.80851063829788,20.3125,71.69811320754717,23.58490566037736,84.90566037735849
VICENTE LUQUE,23-11-1,11.0,9.0,14.0,52%,1093.0,2103.0,52%,6.0,27.0,5.02,5.25,0.97,0.69,52%,62%,0.69,09:28,965.0,88%,62.0,6%,66.0,6%,665.0,61%,282.0,13%,282.0,26%,11.0,48%,3.0,13%,9.0,39%,https://www.ufc.com/athlete/vicente-luque,Welterweight,69.81132075471697,46.666666666666664,73.58490566037736,83.51063829787235,40.625,45.28301886792453,76.88679245283019,73.11320754716981
WELLINGTON TURMAN,18-8-0,4.0,8.0,8.0,51%,312.0,609.0,21%,4.0,48.0,3.23,4.17,1.55,0.78,45%,43%,0.0,10:44,237.0,76%,51.0,16%,24.0,8%,183.0,59%,65.0,21%,65.0,21%,4.0,22%,6.0,33%,8.0,44%,https://www.ufc.com/athlete/wellington-turman,Welterweight,66.0377358490566,19.047619047619047,26.41509433962264,19.680851063829788,11.458333333333332,65.09433962264151,81.13207547169812,15.566037735849056
YUSAKU KINOSHITA,6-3-0,4.0,2.0,5.0,50%,89.0,178.0,0%,,1.0,4.65,5.12,0.0,0.0,52%,50%,0.78,06:23,81.0,91%,0.0,0%,8.0,9%,55.0,55%,29.0,16%,67.0,29%,4.0,67%,0.0,0%,2.0,33%,https://www.ufc.com/athlete/yusaku-kinoshita,Welterweight,59.905660377358494,46.666666666666664,62.735849056603776,7.446808510638298,20.3125,12.264150943396226,23.58490566037736,79.24528301886792
ZACH ZANE,12-9-0,,,,57%,13.0,23.0,0%,,1.0,0.87,6.67,0.0,0.0,20%,26%,0.0,15:00,7.0,54%,6.0,46%,0.0,0%,46.0,38%,46.0,46%,15.0,15%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/zach-zane,Welterweight,84.90566037735849,0.9523809523809524,3.7735849056603774,7.446808510638298,5.208333333333334,12.264150943396226,23.58490566037736,15.566037735849056
