fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
RICKY STEELE,0-0-0,,,,71%,61.0,86.0,0%,,2.0,4.07,2.93,0.0,0.0,50%,92%,0.0,15:00,26,43%,22,36%,13,21%,56,56%,28,16%,28,28%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/ricky-steele,Bantamweight,99.08256880733946,32.72727272727273,55.90909090909091,6.862745098039216,89.58333333333334,10.0,18.181818181818183,22.727272727272727
RICO DISCIULLO,9-3-0,,,,33%,21.0,63.0,0%,,1.0,1.71,4.41,0.0,0.0,56%,,0.0,12:15,20,95%,1,5%,0,0%,29,29%,52,19%,52,52%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/rico-disciullo,Bantamweight,4.587155963302752,57.72727272727273,12.272727272727273,6.862745098039216,,10.0,18.181818181818183,22.727272727272727
RINYA NAKAMURA,10-1-0,6.0,1.0,6.0,52%,171.0,326.0,82%,,11.0,3.27,1.72,2.58,1.43,64%,100%,1.43,07:29,94,55%,7,4%,70,41%,114,67%,30,18%,60,16%,6,60%,3,30%,1,10%,https://www.ufc.com/athlete/rinya-nakamura,Bantamweight,75.22935779816514,90.45454545454545,43.63636363636363,96.07843137254902,95.3125,80.0,92.27272727272727,94.54545454545455
ROB FONT,22-9-0,9.0,4.0,9.0,45%,1411.0,3102.0,30%,5.0,43.0,5.36,3.7,0.74,0.34,57%,44%,0.4,13:09,1256,89%,93,7%,62,4%,1071,76%,246,17%,94,7%,9,41%,9,41%,4,18%,https://www.ufc.com/athlete/rob-font,Bantamweight,46.330275229357795,63.63636363636363,86.81818181818181,37.745098039215684,16.145833333333336,35.45454545454545,53.63636363636364,67.27272727272727
RONNIE LAWRENCE,8-2-0,4.0,,2.0,56%,167.0,296.0,77%,14.0,35.0,2.78,1.75,6.75,0.25,52%,45%,0.75,12:00,81,49%,7,4%,79,47%,106,63%,32,17%,50,19%,4,50%,4,50%,0,0%,https://www.ufc.com/athlete/ronnie-lawrence,Bantamweight,88.53211009174312,42.27272727272727,28.18181818181818,94.11764705882352,18.229166666666664,99.0909090909091,46.36363636363636,88.63636363636364
SAID NURMAGOMEDOV,18-5-0,4.0,6.0,9.0,49%,321.0,661.0,15%,1.0,39.0,3.08,2.05,0.86,1.15,56%,63%,0.29,09:28,244,76%,46,14%,31,10%,173,54%,79,25%,69,21%,4,22%,8,44%,6,33%,https://www.ufc.com/athlete/said-nurmagomedov,Bantamweight,65.59633027522935,57.72727272727273,39.09090909090909,17.647058823529413,38.54166666666667,36.36363636363637,87.27272727272727,59.09090909090909
SANTIAGO LUNA,7-0-0,3.0,4.0,4.0,38%,15.0,40.0,0%,,1.0,5.36,4.29,0.0,0.0,50%,100%,10.71,02:48,9,60%,3,20%,3,20%,87,87%,7,7%,43,7%,3,43%,0,0%,4,57%,https://www.ufc.com/athlete/santiago-luna,Bantamweight,13.761467889908257,32.72727272727273,86.81818181818181,6.862745098039216,95.3125,10.0,18.181818181818183,100.0
SEAN O'MALLEY,18-3-0,12.0,,9.0,61%,1069.0,1747.0,43%,3.0,7.0,6.3,3.48,0.27,0.27,60%,61%,0.71,11:19,1010,94%,22,2%,37,3%,727,68%,250,23%,92,9%,12,67%,5,28%,1,6%,https://www.ufc.com/athlete/sean-omalley,Bantamweight,96.3302752293578,77.27272727272727,95.45454545454545,71.07843137254902,33.85416666666667,21.818181818181817,47.27272727272727,86.36363636363636
SERGEY MOROZOV,19-5-0,8.0,3.0,6.0,43%,187.0,430.0,32%,7.0,47.0,3.01,2.97,3.63,0.0,61%,68%,0.24,12:25,147,79%,17,9%,23,12%,134,72%,27,14%,44,14%,8,44%,7,39%,3,17%,https://www.ufc.com/athlete/sergey-morozov,Bantamweight,35.321100917431195,82.27272727272728,37.27272727272727,43.627450980392155,51.041666666666664,90.0,18.181818181818183,53.63636363636364
SERHIY SIDEY,12-2-0,7.0,1.0,4.0,40%,213.0,533.0,25%,,20.0,4.49,4.26,1.58,1.26,54%,20%,0.32,11:52,192,90%,19,9%,2,1%,128,60%,60,28%,58,12%,7,58%,4,33%,1,8%,https://www.ufc.com/athlete/serhiy-sidey,Bantamweight,23.853211009174313,48.63636363636364,68.18181818181817,26.96078431372549,1.0416666666666665,61.36363636363637,89.0909090909091,61.81818181818181
