Year,S/T name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,0–4,5–9,10–14,Child_count
2024,Victoria,206,Melbourne - Inner,20607,Yarra,206071518,Richmond - North,477,349,365,1191
2024,Victoria,207,Melbourne - Inner East,20701,Boroondara,207011146,Ashburton (Vic.),421,522,601,1544
2024,Victoria,207,Melbourne - Inner East,20701,Boroondara,207011147,Balwyn,456,903,1190,2549
2024,Victoria,207,Melbourne - Inner East,20701,Boroondara,207011148,Balwyn North,721,1185,1776,3682
2024,Victoria,207,Melbourne - Inner East,20701,Boroondara,207011149,Camberwell,863,1146,1365,3374
2024,Victoria,207,Melbourne - Inner East,20701,Boroondara,207011150,Glen Iris - East,777,1098,1230,3105
2024,Victoria,207,Melbourne - Inner East,20701,Boroondara,207011152,Hawthorn East,594,749,813,2156
2024,Victoria,207,Melbourne - Inner East,20701,Boroondara,207011154,Kew East,268,367,457,1092
2024,Victoria,207,Melbourne - Inner East,20701,Boroondara,207011155,Surrey Hills (West) - Canterbury,568,839,1054,2461
2024,Victoria,207,Melbourne - Inner East,20701,Boroondara,207011519,Hawthorn - North,370,396,465,1231
2024,Victoria,207,Melbourne - Inner East,20701,Boroondara,207011520,Hawthorn - South,406,420,528,1354
2024,Victoria,207,Melbourne - Inner East,20701,Boroondara,207011521,Kew - South,434,524,758,1716
2024,Victoria,207,Melbourne - Inner East,20701,Boroondara,207011522,Kew - West,549,599,755,1903
