fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
DIYAR NURGOZHAY,10-2-0,6,2,7,50%,54,107,100%,2,3,3.04,2.99,2.54,0.00,61%,100%,0.85,05:55,49,91%,2,4%,3,6%,41,39%,41,41%,60,20%,6,60%,2,20%,2,20%,https://www.ufc.com/athlete/diyar-nurgozhay,Light Heavyweight
DOMINICK REYES,15-5-0,10,2,11,54%,554,1023,29%,1,7,5.39,3.49,0.29,0.29,50%,83%,1.02,07:21,406,73%,60,11%,88,16%,321,58%,134,24%,99,18%,10,67%,3,20%,2,13%,https://www.ufc.com/athlete/dominick-reyes,Light Heavyweight
DUSTIN JACOBY,21-9-1,14,null,13,48%,980,2043,25%,2,16,5.37,4.02,0.33,0.00,58%,63%,0.58,10:08,844,86%,109,11%,27,3%,667,68%,170,15%,170,17%,14,67%,6,29%,1,5%,https://www.ufc.com/athlete/dustin-jacoby,Light Heavyweight
JESSE MURRAY,0-1-0,null,null,null,29%,4,14,null,null,null,2.38,7.72,0.00,0.00,43%,null,0.00,01:41,4,100%,0,0%,0,0%,100,0%,100,100%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/dzhessi-myurrey,Light Heavyweight
CODY BRUNDAGE,11-7-1,6,3,7,52%,210,405,46%,1,28,2.20,2.72,2.05,0.63,49%,69%,0.47,06:48,132,63%,26,12%,52,25%,164,78%,25,10%,55,12%,6,55%,2,18%,3,27%,https://www.ufc.com/athlete/dzhonatan-pirs-1,Light Heavyweight
EVAN SWEESY,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/evan-sweesy,Light Heavyweight
PHILIPE LINS,18-5-0,9,4,6,49%,241,491,33%,null,21,3.80,3.59,1.65,0.00,46%,100%,0.24,10:35,202,84%,30,12%,9,4%,141,59%,55,23%,50,19%,9,50%,5,28%,4,22%,https://www.ufc.com/athlete/fuirihe-rinsu,Light Heavyweight
ZHANG MINGYANG,19-7-0,13,6,19,60%,152,252,null,null,null,7.71,5.33,0.00,0.00,43%,75%,2.28,03:57,109,72%,7,5%,36,24%,96,63%,34,14%,68,22%,13,68%,0,0%,6,32%,https://www.ufc.com/athlete/guram-kutateladze-1,Light Heavyweight
HARRISON GARCIA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/harrison-garcia,Light Heavyweight
HENRIQUE DA SILVA,12-4-0,null,null,null,60%,237,393,14%,1,7,3.89,5.28,0.25,0.25,40%,22%,0.00,08:43,113,48%,83,35%,41,17%,123,52%,91,38%,92,10%,11,92%,0,0%,1,8%,https://www.ufc.com/athlete/henrique-da-silva,Light Heavyweight
