fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
RAFAEL DE FREITAS,0-0-0,null,null,null,30%,8,27,50%,null,6,2.00,8.00,11.25,0.00,52%,null,0.00,04:00,6,75%,0,0%,2,25%,38,38%,50,13%,50,50%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/rafael-de-freitas,Flyweight
RAFAEL ESTEVAM,14-0-0,4,3,1,54%,110,203,39%,3,54,2.10,2.59,6.01,0.29,47%,67%,0.00,13:06,46,42%,5,5%,59,54%,85,77%,16,15%,29,8%,4,29%,7,50%,3,21%,https://www.ufc.com/athlete/rafael-estevam,Flyweight
RAMAZAN TEMIROV,19-3-0,11,1,10,40%,78,194,50%,null,2,4.37,3.93,0.84,0.00,59%,100%,2.52,08:55,66,85%,9,12%,3,4%,77,77%,22,22%,58,1%,11,58%,7,37%,1,5%,https://www.ufc.com/athlete/ramazan-temirov,Flyweight
REI TSURUYA,10-2-0,4,4,4,53%,126,239,37%,3,51,2.24,2.01,5.06,1.87,43%,50%,0.00,11:16,52,41%,4,3%,70,56%,111,88%,8,6%,40,6%,4,40%,2,20%,4,40%,https://www.ufc.com/athlete/rei-tsuruya,Flyweight
RICKSON ZENIDIM,0-1-0,null,null,null,32%,25,78,0%,null,4,1.67,4.07,0.00,0.00,34%,null,0.00,15:00,25,100%,0,0%,0,0%,44,32%,44,44%,24,24%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/rickson-zenidim,Flyweight
RICKY CALATAYUD,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/ricky-calatayud,Flyweight
RONAL SIAHAAN,0-1-0,null,null,null,67%,4,6,null,null,null,0.63,6.17,0.00,0.00,25%,25%,0.00,06:19,3,75%,1,25%,0,0%,50,50%,50,0%,50,50%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/ronal-siahaan,Flyweight
ROYBERT ECHEVERRIA,0-1-0,null,null,null,53%,34,64,0%,null,1,2.95,2.52,0.00,2.60,57%,71%,0.00,11:31,19,56%,3,9%,12,35%,26,26%,47,26%,47,47%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/roy-echeverria,Flyweight
SEUNGGUK CHOI,7-3-0,2,null,2,43%,197,462,28%,null,18,2.69,2.69,1.02,0.00,66%,74%,0.21,14:38,170,86%,7,4%,20,10%,108,55%,64,13%,64,32%,2,33%,4,67%,0,0%,https://www.ufc.com/athlete/seungguk-choi,Flyweight
SHANNON ROSS,13-9-0,7,1,3,39%,117,298,0%,null,1,5.96,7.39,0.00,0.00,55%,100%,0.00,04:54,105,90%,12,10%,0,0%,73,62%,26,22%,54,15%,7,54%,5,38%,1,8%,https://www.ufc.com/athlete/shannon-ross,Flyweight
