fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
ISSA ISAKOV,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/issa-isakov,Lightweight
JAE HYUN PARK,1-2-0,null,null,null,67%,68,101,86%,null,7,1.75,1.36,2.31,0.39,45%,22%,0.00,12:59,27,40%,12,18%,29,43%,79,79%,10,10%,10,10%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/jae-hyun-park,Lightweight
JAI HERBERT,13-6-1,9,1,4,41%,322,792,21%,null,14,3.07,3.26,0.43,0.00,53%,67%,0.57,11:40,261,81%,48,15%,13,4%,164,51%,100,31%,69,18%,9,69%,3,23%,1,8%,https://www.ufc.com/athlete/jai-herbert,Lightweight
JAMIE MULLARKEY,18-8-0,10,3,7,47%,499,1068,30%,3,64,4.20,4.34,2.40,0.13,55%,79%,0.25,09:54,429,86%,45,9%,25,5%,258,52%,132,22%,132,26%,10,56%,5,28%,3,17%,https://www.ufc.com/athlete/jamie-mullarkey,Lightweight
JARED GORDON,21-8-0,8,2,4,54%,1043,1938,33%,6,67,5.64,4.14,1.78,0.00,56%,60%,0.16,10:53,730,70%,127,12%,186,18%,774,74%,171,16%,98,9%,8,38%,11,52%,2,10%,https://www.ufc.com/athlete/jared-gordon,Lightweight
JEREMY STEPHENS,28-20-0,19,2,null,41%,1276,3125,38%,27,78,3.15,3.14,1.11,0.37,59%,62%,0.67,11:33,938,74%,125,10%,213,17%,749,59%,305,17%,305,24%,19,68%,7,25%,2,7%,https://www.ufc.com/athlete/jeremy-stephens,Lightweight
JIM MILLER,38-19-0,7,21,16,42%,1313,3120,45%,36,100,2.92,3.44,1.50,1.70,57%,49%,0.20,09:46,936,71%,194,15%,183,14%,770,59%,280,20%,280,21%,7,18%,10,26%,21,55%,https://www.ufc.com/athlete/jim-miller,Lightweight
JJ OKANOVICH,0-0-0,null,null,null,56%,104,186,null,null,null,6.93,5.27,0.00,0.00,51%,100%,0.00,15:00,86,83%,2,2%,16,15%,95,91%,8,8%,1,1%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/jj-okanovich,Lightweight
JOAQUIM SILVA,14-6-0,7,3,8,43%,449,1042,50%,null,6,3.43,4.17,0.34,0.80,54%,71%,0.46,10:55,342,76%,73,16%,34,8%,263,59%,129,29%,57,13%,7,50%,4,29%,3,21%,https://www.ufc.com/athlete/joaquim-silva,Lightweight
JOE LAUZON,28-16-0,9,17,null,40%,605,1525,45%,33,75,2.84,5.39,2.39,2.04,55%,55%,0.21,07:53,326,54%,99,16%,180,30%,537,89%,56,9%,32,2%,9,32%,2,7%,17,61%,https://www.ufc.com/athlete/joe-lauzon,Lightweight
