fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
PETER PETTIES,5-3-0,null,null,null,29%,20,68,0%,null,1,2.61,8.24,0.00,0.00,48%,null,0.00,07:39,16,80%,4,20%,0,0%,75,75%,20,5%,60,20%,3,60%,2,40%,0,0%,https://www.ufc.com/athlete/peter-petties,Featherweight
RAMIRO JIMENEZ,1-0-0,null,null,null,65%,41,63,100%,null,1,14.22,2.43,5.20,0.00,82%,100%,5.20,02:53,30,73%,6,15%,5,12%,63,63%,34,34%,2,2%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/ramiro-jimenez,Featherweight
RAMON TAVERAS,10-4-0,5,3,5,43%,195,452,0%,null,4,4.07,6.45,0.00,0.00,54%,73%,0.63,09:35,184,94%,3,2%,8,4%,164,84%,22,11%,50,5%,5,50%,2,20%,3,30%,https://www.ufc.com/athlete/ramon-taveras,Featherweight
RHEZA ARIANTO,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/rheza-arianto,Featherweight
RICARDO RAMOS,17-7-0,4,7,8,36%,399,1094,58%,4,40,2.97,4.06,2.57,0.67,55%,70%,0.34,09:36,341,85%,33,8%,25,6%,247,62%,84,21%,68,17%,4,24%,6,35%,7,41%,https://www.ufc.com/athlete/ricardo-ramos,Featherweight
RICK PALACIOS,10-1-0,null,null,null,54%,116,216,null,null,null,7.73,3.27,0.00,0.00,60%,100%,0.00,15:00,115,99%,1,1%,0,0%,53,46%,38,22%,38,33%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/rick-palacios,Featherweight
ROBBIE RING,0-1-0,null,null,null,38%,19,50,33%,null,3,5.11,9.15,4.04,0.00,38%,null,0.00,03:43,17,89%,2,11%,0,0%,74,74%,16,16%,11,11%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/robbie-ring,Featherweight
ROBERT RUCHALA,11-2-0,3,3,2,35%,34,96,33%,2,6,2.27,3.27,2.00,0.00,57%,null,0.00,15:00,27,79%,7,21%,0,0%,47,41%,47,47%,27,12%,3,27%,5,45%,3,27%,https://www.ufc.com/athlete/robert-ruchala,Featherweight
ROBERTO ROMERO,8-5-1,3,2,5,49%,109,222,0%,null,3,4.56,6.44,0.00,0.00,44%,71%,0.63,11:58,97,89%,11,10%,1,1%,35,32%,41,30%,41,38%,3,38%,3,38%,2,25%,https://www.ufc.com/athlete/roberto-romero,Featherweight
RYAN HALL,9-2-0,2,3,null,50%,161,322,9%,1,11,2.38,1.33,0.22,2.22,66%,null,0.44,11:16,108,67%,3,2%,50,31%,68,42%,56,35%,37,23%,2,8%,19,79%,3,13%,https://www.ufc.com/athlete/ryan-hall,Featherweight
SANG WON KIM,1-1-0,null,null,null,57%,69,121,25%,null,4,3.18,3.73,0.69,0.00,59%,72%,0.69,10:51,60,87%,3,4%,6,9%,55,55%,33,12%,33,33%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/sang-won-kim,Featherweight
SEAN WOODSON,13-2-1,4,1,4,47%,725,1559,56%,null,9,5.57,4.18,0.58,0.35,59%,85%,0.46,11:50,677,93%,41,6%,7,1%,516,71%,109,15%,100,14%,4,31%,8,62%,1,8%,https://www.ufc.com/athlete/sean-woodson,Featherweight
SHANE YOUNG,13-8-0,6,4,null,41%,373,916,19%,2,16,5.19,5.46,0.63,0.00,53%,64%,0.21,10:16,347,93%,26,7%,0,0%,213,57%,99,27%,61,16%,6,46%,3,23%,4,31%,https://www.ufc.com/athlete/shane-young,Featherweight
STEVE GARCIA,18-5-0,14,null,7,49%,344,707,40%,4,10,5.18,2.20,0.90,0.45,58%,89%,2.26,06:02,209,61%,39,11%,96,28%,252,73%,62,18%,78,9%,14,78%,4,22%,0,0%,https://www.ufc.com/athlete/steve-garcia,Featherweight
TIMMY CUAMBA,9-3-0,5,null,2,42%,168,400,27%,1,15,3.12,4.30,1.11,0.00,59%,80%,0.28,13:29,145,86%,9,5%,14,8%,107,64%,40,24%,56,13%,5,56%,4,44%,0,0%,https://www.ufc.com/athlete/timothy-cuamba,Featherweight
TOBY MISECH,10-5-0,null,null,null,41%,49,121,0%,null,2,3.27,7.73,0.00,0.00,46%,null,0.00,15:00,49,100%,0,0%,0,0%,67,67%,18,18%,14,14%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/toby-misech,Featherweight
TOMMY MCMILLEN,1-0-0,null,null,null,52%,113,218,0%,null,1,7.53,5.67,0.00,0.00,55%,83%,0.00,15:00,97,86%,16,14%,0,0%,88,78%,18,16%,7,6%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/tommy-mcmillen,Featherweight
TUCKER LUTZ,12-4-0,6,2,4,47%,310,661,44%,4,25,3.74,3.25,1.99,0.18,44%,69%,0.00,13:48,255,82%,30,10%,25,8%,168,54%,78,25%,64,21%,6,50%,4,33%,2,17%,https://www.ufc.com/athlete/tucker-lutz,Featherweight
FERNANDO PADILLA,16-6-0,5,9,11,40%,148,367,0%,null,1,6.07,5.74,0.00,0.61,52%,100%,1.23,06:06,118,80%,12,8%,18,12%,97,66%,29,20%,31,15%,5,31%,2,13%,9,56%,https://www.ufc.com/athlete/vegnni-fabiano-3,Featherweight
WILLIAM GOMIS,15-3-0,7,1,2,50%,304,609,38%,3,13,3.48,2.76,0.86,0.34,61%,72%,0.00,14:33,258,85%,43,14%,3,1%,125,41%,93,28%,93,31%,7,47%,7,47%,1,7%,https://www.ufc.com/athlete/william-gomis,Featherweight
WUZIAZIBIEKE JIAHEFU,0-1-0,null,null,null,50%,1,2,50%,null,2,0.41,2.84,6.08,0.00,42%,null,0.00,02:28,1,100%,0,0%,0,0%,0,0%,100,0%,100,100%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/wuziazibieke-jiahefu,Featherweight
YADIER DEL VALLE,9-0-0,2,3,4,67%,134,200,43%,1,7,7.49,3.46,2.51,1.68,52%,67%,0.00,08:57,63,47%,49,37%,22,16%,83,62%,26,19%,25,19%,2,22%,4,44%,3,33%,https://www.ufc.com/athlete/yadier-del-valle,Featherweight
YAIR RODRIGUEZ,21-5-0,8,5,6,47%,984,2096,29%,8,34,4.65,3.78,0.71,0.64,53%,59%,0.35,13:14,769,78%,64,7%,151,15%,544,55%,247,20%,247,25%,8,38%,8,38%,5,24%,https://www.ufc.com/athlete/yair-rodriguez,Featherweight
YAZAN HAJEH,6-0-0,null,null,null,25%,3,12,0%,null,1,1.54,17.44,0.00,0.00,44%,100%,0.00,01:57,3,100%,0,0%,0,0%,67,67%,33,33%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/yazan-hajeh,Featherweight
YIZHA,26-5-0,7,13,16,46%,203,446,30%,5,53,2.97,2.81,3.51,1.10,48%,54%,0.44,08:33,157,77%,30,15%,16,8%,118,58%,57,28%,28,14%,7,27%,6,23%,13,50%,https://www.ufc.com/athlete/yi-zha,Featherweight
YOUSSEF ZALAL,18-5-1,4,10,7,51%,419,826,31%,6,62,3.07,1.80,2.09,1.32,67%,59%,0.22,12:26,357,85%,25,6%,37,9%,263,63%,86,17%,86,21%,4,22%,4,22%,10,56%,https://www.ufc.com/athlete/youssef-zalal,Featherweight
ZHU KANGJIE,3-0-0,null,null,null,48%,130,269,100%,null,1,2.89,1.33,0.33,0.00,70%,51%,0.67,15:00,99,76%,15,12%,16,12%,78,60%,38,29%,14,11%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/zhu-kangjie,Featherweight
