fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
LEON ALIU,0-1-0,null,null,null,50%,10,20,0%,null,1,6.32,10.11,0.00,0.00,38%,null,0.00,01:35,7,70%,3,30%,0,0%,40,10%,50,40%,50,50%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/leon-aliu,Middleweight
LEONARDO DE OLIVEIRA,0-0-0,null,null,null,40%,2,5,50%,null,6,1.07,0.54,24.11,0.00,50%,null,0.00,01:52,1,50%,1,50%,0,0%,50,50%,50,0%,50,50%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/leonardo-de-oliveira,Middleweight
LUCAS FERNANDO,0-1-0,null,null,null,52%,28,54,30%,null,10,1.87,4.73,3.00,1.00,39%,null,0.00,15:00,26,93%,2,7%,0,0%,57,57%,21,21%,21,21%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/lucas-fernando,Middleweight
SHONTE BARNES,0-1-0,null,null,null,38%,18,47,0%,null,1,2.32,1.55,0.00,0.00,68%,60%,0.00,07:46,16,89%,2,11%,0,0%,44,22%,44,44%,33,33%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/lyudovit-klayn-5,Middleweight
AJ DOBSON,7-3-0,3,2,5,46%,231,500,75%,null,8,4.29,5.31,1.67,0.28,46%,65%,0.28,10:47,180,78%,27,12%,24,10%,142,61%,58,13%,58,25%,3,43%,2,29%,2,29%,https://www.ufc.com/athlete/manon-firot-2,Middleweight
MANSUR ABDUL-MALIK,8-0-1,7,1,6,49%,131,268,33%,null,3,4.27,3.49,0.49,0.00,51%,82%,0.49,07:40,52,40%,14,11%,65,50%,119,91%,6,5%,88,5%,7,88%,0,0%,1,13%,https://www.ufc.com/athlete/mansur-abdul-malik,Middleweight
MANTAS KONDRATAVICIUS,1-0-0,null,null,null,33%,5,15,100%,null,1,4.55,3.64,13.64,0.00,60%,null,13.64,01:06,2,40%,1,20%,2,40%,80,80%,20,20%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/mantas-kondratavicius,Middleweight
MARC-ANDRE BARRIAULT,17-10-0,11,1,7,48%,918,1914,29%,1,14,5.70,5.63,0.37,0.09,51%,68%,0.37,10:04,591,64%,258,28%,69,8%,661,72%,180,20%,77,8%,11,65%,5,29%,1,6%,https://www.ufc.com/athlete/marc-andre-barriault,Middleweight
MARCIO ALEXANDRE,13-3-0,null,null,null,45%,68,151,20%,1,5,1.61,2.89,0.35,0.71,42%,67%,0.00,10:34,51,75%,9,13%,8,12%,53,53%,38,38%,77,9%,10,77%,1,8%,2,15%,https://www.ufc.com/athlete/marcio-alexandre,Middleweight
MARCO TULIO,14-1-0,10,null,7,60%,256,424,20%,null,10,7.54,2.53,0.88,0.44,62%,null,2.21,08:30,212,83%,13,5%,31,12%,139,54%,69,27%,71,19%,10,71%,3,21%,1,7%,https://www.ufc.com/athlete/marco-tulio,Middleweight
MARIO SOUSA,1-2-0,null,null,null,51%,81,159,25%,null,4,2.82,2.99,0.52,0.52,28%,38%,0.00,09:35,46,57%,10,12%,25,31%,63,63%,22,22%,15,15%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/mario-sousa,Middleweight
CAIO BORRALHO,17-2-0,5,4,6,56%,483,860,48%,1,25,3.44,2.50,1.28,0.43,60%,77%,0.43,14:04,369,76%,44,9%,70,14%,309,64%,105,22%,69,14%,5,29%,8,47%,4,24%,https://www.ufc.com/athlete/mario-souza-3,Middleweight
MARIUSZ KSIAZKIEWICZ,0-1-0,null,null,null,45%,14,31,100%,null,4,0.93,3.40,4.00,2.00,39%,null,0.00,15:00,5,36%,2,14%,7,50%,57,57%,29,14%,29,29%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/mariusz-ksiazkiewicz,Middleweight
