fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
POLYANA VIANA,13-8-0,5,8,12,40%,218,542,33%,2,12,2.74,2.50,0.75,1.69,53%,35%,0.19,07:15,174,80%,18,8%,26,12%,110,50%,66,30%,42,19%,5,38%,0,0%,8,62%,https://www.ufc.com/athlete/polyana-viana,Women's Strawweight
PUJA TOMAR,9-5-0,6,null,3,48%,131,271,null,null,null,5.61,5.82,0.00,0.00,46%,100%,0.64,11:41,121,92%,3,2%,7,5%,60,39%,60,46%,67,15%,6,67%,3,33%,0,0%,https://www.ufc.com/athlete/puja-tomar,Women's Strawweight
RAINN GUERRERO,0-1-0,null,null,null,33%,3,9,100%,null,1,0.65,0.87,3.27,0.00,50%,null,0.00,04:35,1,33%,1,33%,1,33%,67,67%,33,33%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/rainn-guerrero,Women's Strawweight
RAVENA OLIVEIRA,7-2-1,4,1,4,48%,15,31,67%,2,3,1.00,1.20,2.00,0.00,49%,63%,0.00,15:00,13,87%,2,13%,0,0%,67,67%,20,20%,40,13%,4,40%,5,50%,1,10%,https://www.ufc.com/athlete/ravena-oliveira,Women's Strawweight
RAYANNE DOS SANTOS,14-9-0,2,8,8,40%,274,679,14%,null,14,4.57,6.47,0.50,0.00,59%,80%,0.00,15:00,250,91%,23,8%,1,0%,199,73%,52,19%,23,8%,2,14%,4,29%,8,57%,https://www.ufc.com/athlete/rayanne-dos-santos,Women's Strawweight
SAM HUGHES,11-6-0,2,4,3,47%,633,1350,35%,null,34,4.34,4.44,1.23,0.21,59%,61%,0.00,13:15,478,76%,66,10%,89,14%,431,68%,108,17%,94,15%,2,18%,5,45%,4,36%,https://www.ufc.com/athlete/samu-hiyusu,Women's Strawweight
SANDRA LAVADO,0-1-0,null,null,null,37%,13,35,0%,null,3,0.87,2.67,0.00,0.00,34%,33%,0.00,15:00,10,77%,3,23%,0,0%,54,54%,38,38%,8,8%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/sandra-lavado,Women's Strawweight
SHANELLE DYER,0-1-0,null,null,null,42%,115,274,0%,null,11,7.67,7.80,0.00,0.00,45%,null,0.00,15:00,108,94%,7,6%,0,0%,62,54%,36,31%,17,15%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/shanelle-dyer,Women's Strawweight
SHAUNA BANNON,7-2-0,2,null,1,43%,196,455,0%,null,5,4.32,3.75,0.00,0.66,46%,40%,0.00,11:20,185,94%,11,6%,0,0%,87,44%,69,35%,40,20%,2,29%,4,57%,1,14%,https://www.ufc.com/athlete/shauna-bannon,Women's Strawweight
SHI MING,17-6-0,2,6,4,36%,174,478,30%,1,10,3.12,2.92,0.81,0.00,54%,57%,0.54,13:57,155,89%,12,7%,7,4%,73,42%,54,31%,47,27%,2,12%,9,53%,6,35%,https://www.ufc.com/athlete/shi-ming,Women's Strawweight
STEPHANIE LUCIANO,6-2-1,2,null,null,42%,241,578,67%,null,3,5.36,3.38,0.67,0.00,61%,81%,0.33,15:00,210,87%,20,8%,11,5%,161,67%,52,22%,33,12%,2,33%,4,67%,0,0%,https://www.ufc.com/athlete/stephanie-bruna-luciano,Women's Strawweight
STEPHANIE FRAUSTO,0-1-0,null,null,null,21%,4,19,null,null,null,1.43,3.57,0.00,0.00,60%,null,0.00,02:48,4,100%,0,0%,0,0%,25,0%,75,25%,75,75%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/stephanie-frausto,Women's Strawweight
TABATHA RICCI,12-3-0,2,3,2,37%,536,1452,37%,5,62,4.18,5.19,2.69,0.12,58%,79%,0.00,12:49,425,79%,35,7%,76,14%,350,65%,115,13%,115,21%,2,17%,7,58%,3,25%,https://www.ufc.com/athlete/tabatha-ricci,Women's Strawweight
TALITA ALENCAR,6-1-1,null,3,2,33%,157,473,21%,1,48,2.62,3.77,2.50,0.25,54%,50%,0.00,15:00,85,54%,17,11%,55,35%,107,68%,40,25%,10,6%,0,0%,3,50%,3,50%,https://www.ufc.com/athlete/talita-alencar,Women's Strawweight
TATIANA SUAREZ,12-1-0,2,6,2,61%,311,511,44%,18,71,2.95,1.58,4.41,0.57,45%,80%,0.00,11:42,96,31%,46,15%,169,54%,159,51%,89,29%,63,20%,2,17%,4,33%,6,50%,https://www.ufc.com/athlete/tatiana-suarez,Women's Strawweight
TECIA PENNINGTON,15-7-0,1,1,null,48%,1199,2494,14%,7,65,4.78,3.48,0.54,0.06,62%,62%,0.06,13:56,1011,84%,148,12%,40,3%,670,56%,274,21%,274,23%,1,7%,13,87%,1,7%,https://www.ufc.com/athlete/tecia-torres,Women's Strawweight
TIFFANY MASTERS,2-1-0,null,null,null,63%,52,83,60%,null,5,3.53,2.58,3.06,0.00,51%,null,0.00,14:43,16,31%,14,27%,22,42%,46,46%,37,37%,50,17%,1,50%,0,0%,1,50%,https://www.ufc.com/athlete/tiffany-masters,Women's Strawweight
VIRNA JANDIROBA,22-3-0,1,14,8,39%,261,670,33%,3,63,1.97,2.55,2.37,1.81,58%,74%,0.11,12:04,202,77%,31,12%,28,11%,223,85%,35,13%,5,1%,1,5%,7,32%,14,64%,https://www.ufc.com/athlete/virna-jandiroba,Women's Strawweight
YAN XIAONAN,19-5-0,8,1,8,45%,916,2030,73%,null,15,4.69,3.23,0.84,0.00,60%,65%,0.15,15:01,793,87%,69,8%,54,6%,599,65%,196,13%,196,21%,8,42%,10,53%,1,5%,https://www.ufc.com/athlete/xiaonan-yan,Women's Strawweight
YAZMIN JAUREGUI,11-2-0,7,null,5,39%,282,715,0%,null,5,6.64,5.25,0.00,0.00,55%,100%,0.71,08:30,232,82%,27,10%,23,8%,176,62%,59,17%,64,21%,7,64%,4,36%,0,0%,https://www.ufc.com/athlete/yazmin-jauregui,Women's Strawweight
ZHANG WEILI,26-3-0,11,8,11,54%,897,1665,46%,1,57,5.15,2.77,2.24,0.52,54%,74%,0.26,14:31,527,59%,75,8%,295,33%,539,60%,146,16%,212,24%,11,42%,7,27%,8,31%,https://www.ufc.com/athlete/weili-zhang,Women's Strawweight
