S/T name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,0–4,5–9,10–14,Total persons,Child_count ,child_density_per_100
Victoria,207,Melbourne - Inner East,20701,Boroondara,207011148,Balwyn North,721,1185,1776,22325,3682,16.4927
Victoria,207,Melbourne - Inner East,20701,Boroondara,207011149,Camberwell,863,1146,1365,22120,3374,15.2532
Victoria,207,Melbourne - Inner East,20701,Boroondara,207011150,Glen Iris - East,777,1098,1230,17537,3105,17.7054
Victoria,207,Melbourne - Inner East,20701,Boroondara,207011152,Hawthorn East,594,749,813,17318,2156,12.4495
Victoria,207,Melbourne - Inner East,20701,Boroondara,207011154,Kew East,268,367,457,6780,1092,16.1062
Victoria,207,Melbourne - Inner East,20701,Boroondara,207011155,Surrey Hills (West) - Canterbury,568,839,1054,16231,2461,15.1623
Victoria,207,Melbourne - Inner East,20701,Boroondara,207011519,Hawthorn - North,370,396,465,10820,1231,11.3771
Victoria,207,Melbourne - Inner East,20701,Boroondara,207011520,Hawthorn - South,406,420,528,13481,1354,10.0438
Victoria,207,Melbourne - Inner East,20701,Boroondara,207011521,Kew - South,434,524,758,12352,1716,13.8925
Victoria,207,Melbourne - Inner East,20701,Boroondara,207011522,Kew - West,549,599,755,13675,1903,13.9159
Victoria,207,Melbourne - Inner East,20702,Manningham - West,207021156,Bulleen,511,541,610,11762,1662,14.1302
Victoria,207,Melbourne - Inner East,20702,Manningham - West,207021157,Doncaster,1208,1331,1300,27904,3839,13.7579
Victoria,207,Melbourne - Inner East,20702,Manningham - West,207021159,Templestowe,695,1040,1080,17467,2815,16.1161
Victoria,207,Melbourne - Inner East,20702,Manningham - West,207021160,Templestowe Lower,662,760,894,14612,2316,15.8500
Victoria,207,Melbourne - Inner East,20702,Manningham - West,207021424,Doncaster East - North,624,1031,1152,16352,2807,17.1661
Victoria,207,Melbourne - Inner East,20702,Manningham - West,207021425,Doncaster East - South,827,1219,1190,16710,3236,19.3656
